2021-01-01,77,1,10
2021-01-01,326,2,16
2021-01-01,302,3,65
2021-01-01,470,4,29
2021-01-01,470,5,90
2021-01-01,154,6,94
2021-01-01,220,7,30
2021-01-01,367,8,9
2021-01-01,312,9,74
2021-01-01,158,10,1
2021-01-01,143,11,41
2021-01-01,349,12,37
2021-01-01,349,13,17
2021-01-01,391,14,12
2021-01-01,225,15,55
2021-01-01,197,16,89
2021-01-01,239,17,63
2021-01-01,158,18,34
2021-01-01,214,19,73
2021-01-01,349,20,79
2021-01-01,236,21,50
2021-01-01,452,22,52
2021-01-01,439,23,55
2021-01-01,101,24,78
2021-01-01,341,25,70
2021-01-01,154,26,14
2021-01-01,206,27,26
2021-01-01,301,28,14
2021-01-01,76,29,93
2021-01-01,296,30,87
2021-01-01,326,31,31
2021-01-01,302,32,31
2021-01-01,476,33,90
2021-01-01,209,34,13
2021-01-01,349,35,66
2021-01-01,103,36,32
2021-01-01,234,37,58
2021-01-01,38,38,37
2021-01-01,38,39,28
2021-01-01,172,40,19
2021-01-02,239,41,94
2021-01-02,125,42,78
2021-01-02,197,43,23
2021-01-02,154,44,24
2021-01-02,174,45,95
2021-01-02,125,46,12
2021-01-02,119,47,29
2021-01-02,176,48,75
2021-01-02,109,49,89
2021-01-02,493,50,10
2021-01-02,363,51,16
2021-01-02,13,52,19
2021-01-02,97,53,81
2021-01-02,375,54,72
2021-01-02,91,55,89
2021-01-02,91,56,12
2021-01-02,312,57,18
2021-01-02,145,58,47
2021-01-02,16,59,8
2021-01-02,354,60,76
2021-01-02,356,61,29
2021-01-02,296,62,34
2021-01-02,462,63,85
2021-01-02,404,64,97
2021-01-02,225,65,89
2021-01-02,119,66,45
2021-01-02,255,67,6
2021-01-02,197,68,5
2021-01-02,47,69,72
2021-01-02,174,70,89
2021-01-02,493,71,89
2021-01-02,251,72,51
2021-01-02,214,73,55
2021-01-02,476,74,35
2021-01-02,403,75,16
2021-01-02,91,76,78
2021-01-02,172,77,89
2021-01-02,209,78,16
2021-01-02,145,79,7
2021-01-02,391,80,86
2021-01-02,404,81,23
2021-01-02,331,82,12
2021-01-02,363,83,13
2021-01-02,272,84,93
2021-01-03,317,85,97
2021-01-03,272,86,63
2021-01-03,326,87,58
2021-01-03,446,88,80
2021-01-03,265,89,43
2021-01-03,344,90,58
2021-01-03,492,91,98
2021-01-03,330,92,51
2021-01-03,206,93,46
2021-01-03,209,94,41
2021-01-03,225,95,90
2021-01-03,109,96,74
2021-01-03,296,97,38
2021-01-03,290,98,1
2021-01-03,327,99,19
2021-01-03,419,100,24
2021-01-03,103,101,4
2021-01-03,76,102,30
2021-01-03,47,103,17
2021-01-03,493,104,85
2021-01-03,302,105,83
2021-01-03,373,106,15
2021-01-03,76,107,52
2021-01-03,180,108,80
2021-01-03,91,109,18
2021-01-03,364,110,51
2021-01-03,312,111,54
2021-01-03,375,112,26
2021-01-03,419,113,49
2021-01-03,201,114,18
2021-01-03,446,115,33
2021-01-03,61,116,82
2021-01-03,404,117,81
2021-01-03,101,118,42
2021-01-03,367,119,91
2021-01-03,485,120,13
2021-01-03,91,121,31
2021-01-03,242,122,82
2021-01-03,222,123,18
2021-01-03,225,124,17
2021-01-03,109,125,1
2021-01-03,343,126,32
2021-01-04,284,127,74
2021-01-04,61,128,65
